"Payment Line No.","Invoice Type","Goods Receipt Number","Invoice No","Invoice Date","Invoice Amount","Payment Amount","PO Number",
"1","Credit Memo","","MT/25-26/1109-TDS-CM-6432443","11-Jun-2025"," -124.84"," -124.84","",
"2","Standard","","MT/25-26/1109","11-Jun-2025","12484","12484","",


